iter	MultiClass
0	1.527846239
1	1.359992911
2	1.241480032
3	1.149111723
4	1.07528163
5	1.015012342
6	0.9656452489
7	0.9212034545
8	0.8841980375
9	0.8519311793
10	0.8236869519
11	0.8002542713
12	0.7788690947
13	0.7590481732
14	0.7421784778
15	0.7271253333
16	0.7123805898
17	0.6990739311
18	0.6858379387
19	0.675968551
20	0.6663338408
21	0.658633958
22	0.6516165446
23	0.6452181446
24	0.6372696011
25	0.6307728802
26	0.6263525825
27	0.6214349275
28	0.6162371913
29	0.6121116428
30	0.6085354945
31	0.6058192392
32	0.6015095993
33	0.5987813768
34	0.5965962569
35	0.5935005923
36	0.5901796327
37	0.5873456762
38	0.585774083
39	0.5833319952
40	0.5812150866
41	0.5787828894
42	0.577666359
43	0.5760115396
44	0.5743531461
45	0.572570275
46	0.5706600907
47	0.5697514291
48	0.5679659512
49	0.5669134395
50	0.5658416883
51	0.5645406386
52	0.563647489
53	0.5625337798
54	0.5616071651
55	0.560590262
56	0.5598227029
57	0.5588486393
58	0.5579585456
59	0.5571014105
60	0.5562801718
61	0.5555876897
62	0.5545802488
63	0.5539719605
64	0.553537095
65	0.5531438173
66	0.5527799829
67	0.5521970223
68	0.5515369667
69	0.5508984073
70	0.5505125082
71	0.5499484587
72	0.5491890012
73	0.5487917236
74	0.5478355225
75	0.547335275
76	0.5467552021
77	0.5464148816
78	0.5456896514
79	0.5452251593
80	0.5445745423
81	0.5441356763
82	0.54387748
83	0.543489508
84	0.5431968127
85	0.5428405588
86	0.5424212093
87	0.5420887974
88	0.5419294647
89	0.5411688411
90	0.5407566043
91	0.5400789962
92	0.5394194242
93	0.5390398745
94	0.5387755132
95	0.5380974711
96	0.5377279103
97	0.5373720252
98	0.5372056642
99	0.5368888759
100	0.536602898
101	0.5361433531
102	0.5359024941
103	0.5355687884
104	0.5351791643
105	0.534940249
106	0.5343793626
107	0.5339009468
108	0.5329176492
109	0.5326998797
110	0.5325118796
111	0.5321865895
112	0.5319444655
113	0.5314495818
114	0.5309684497
115	0.5307036849
116	0.5299365398
117	0.529473114
118	0.5291447858
119	0.528829022
120	0.5286546149
121	0.5283423028
122	0.528170884
123	0.5279992844
124	0.5278919954
125	0.5276409034
126	0.5274887053
127	0.5270419175
128	0.5266895523
129	0.5263607955
130	0.5262013455
131	0.5260139617
132	0.5254746655
133	0.525274061
134	0.5249394629
135	0.5246494484
136	0.5244211397
137	0.5241899939
138	0.5239815223
139	0.5237082683
140	0.5235373283
141	0.5231820083
142	0.5229001944
143	0.522800658
144	0.5225688115
145	0.5223923511
146	0.522118495
147	0.5218773817
148	0.5214624981
149	0.5212662855
150	0.5209290515
151	0.5205599353
152	0.5203069907
153	0.5201627051
154	0.5200271871
155	0.5198838424
