iter	Passed	Remaining
0	303	30055
1	388	19021
2	507	16397
3	753	18075
4	1072	20383
5	1217	19081
6	1417	18832
7	1680	19325
8	1896	19174
9	2206	19859
10	2348	19003
11	2519	18473
12	2658	17793
13	2735	16806
14	2841	16103
15	2916	15310
16	3014	14718
17	3103	14136
18	3229	13767
19	3396	13584
20	3528	13275
21	3773	13378
22	3935	13176
23	4068	12885
24	4166	12500
25	4263	12135
26	4389	11867
27	4478	11515
28	4598	11259
29	4718	11008
30	4803	10692
31	4889	10389
32	4960	10070
33	5062	9827
34	5162	9586
35	5309	9438
36	5427	9240
37	5641	9205
38	5761	9012
39	5865	8798
40	5992	8623
41	6149	8492
42	6251	8286
43	6401	8146
44	6541	7994
45	6628	7781
46	6751	7613
47	6835	7405
48	6922	7205
49	6984	6984
50	7080	6802
51	7141	6592
52	7218	6401
53	7383	6289
54	7626	6240
55	7731	6074
56	7798	5882
57	7897	5718
58	7964	5534
59	8050	5367
60	8118	5190
61	8201	5026
62	8272	4858
63	8372	4709
64	8425	4536
65	8480	4368
66	8561	4216
67	8617	4055
68	8698	3908
69	8755	3752
70	8816	3601
71	8905	3463
72	8964	3315
73	9050	3179
74	9105	3035
75	9284	2932
76	9423	2814
77	9487	2676
78	9554	2539
79	9655	2413
80	9719	2279
81	9808	2153
82	9868	2021
83	9926	1890
84	10013	1767
85	10114	1646
86	10222	1527
87	10324	1407
88	10391	1284
89	10459	1162
90	10553	1043
91	10623	923
92	10691	804
93	10809	689
94	10893	573
95	10960	456
96	11023	340
97	11108	226
98	11172	112
99	11231	0
